 118  46  100   0.702724E-10  0.226299E-09
 118  45  100   0.191342E-10  0.616182E-10  
 118  47  100   0.192711E-10  0.620589E-10  
 118  44  100   0.389032E-12  0.125281E-11  
 118  48  100   0.394617E-12  0.127079E-11  
 118  46  101   0.120842E-09  0.374945E-09  
 118  45  101   0.329036E-10  0.102092E-09  
 118  47  101   0.331389E-10  0.102823E-09  
 118  44  101   0.668987E-12  0.207572E-11  
 118  48  101   0.678590E-12  0.210551E-11  
 118  46  102   0.205775E-09  0.614723E-09  
 118  45  102   0.560297E-10  0.167381E-09  
 118  47  102   0.564304E-10  0.168578E-09  
 118  44  102   0.113918E-11  0.340315E-11  
 118  48  102   0.115553E-11  0.345200E-11  
 118  46  103   0.346985E-09  0.997260E-09  
 118  45  103   0.944793E-10  0.271541E-09  
 118  47  103   0.951550E-10  0.273483E-09  
 118  44  103   0.192093E-11  0.552089E-11  
 118  48  103   0.194850E-11  0.560014E-11  
 118  46  104   0.579391E-09  0.160080E-08  
 118  45  104   0.157760E-09  0.435877E-09  
 118  47  104   0.158889E-09  0.438995E-09  
 118  44  104   0.320754E-11  0.886214E-11  
 118  48  104   0.325359E-11  0.898936E-11  
 118  46  105   0.958016E-09  0.254247E-08  
 118  45  105   0.260855E-09  0.692281E-09  
 118  47  105   0.262721E-09  0.697232E-09  
 118  44  105   0.530363E-11  0.140753E-10  
 118  48  105   0.537977E-11  0.142773E-10  
 118  46  106   0.156863E-08  0.399527E-08  
 118  45  106   0.427116E-09  0.108786E-08  
 118  47  106   0.430171E-09  0.109564E-08  
 118  44  106   0.868402E-11  0.221181E-10  
 118  48  106   0.880868E-11  0.224356E-10  
 118  46  107   0.254336E-08  0.621144E-08  
 118  45  107   0.692524E-09  0.169129E-08  
 118  47  107   0.697477E-09  0.170339E-08  
 118  44  107   0.140802E-10  0.343869E-10  
 118  48  107   0.142823E-10  0.348805E-10  
 118  46  108   0.408356E-08  0.955381E-08  
 118  45  108   0.111190E-08  0.260138E-08  
 118  47  108   0.111985E-08  0.261998E-08  
 118  44  108   0.226068E-10  0.528905E-10  
 118  48  108   0.229314E-10  0.536497E-10  
 118  46  109   0.649252E-08  0.145372E-07  
 118  45  109   0.176783E-08  0.395827E-08  
 118  47  109   0.178047E-08  0.398658E-08  
 118  44  109   0.359430E-10  0.804785E-10  
 118  48  109   0.364590E-10  0.816338E-10  
 118  46  110   0.102219E-07  0.218817E-07  
 118  45  110   0.278328E-08  0.595808E-08  
 118  47  110   0.280319E-08  0.600070E-08  
 118  44  110   0.565889E-10  0.121138E-09  
 118  48  110   0.574012E-10  0.122877E-09  
 118  46  111   0.159363E-07  0.325806E-07  
 118  45  111   0.433925E-08  0.887126E-08  
 118  47  111   0.437028E-08  0.893471E-08  
 118  44  111   0.882244E-10  0.180368E-09  
 118  48  111   0.894909E-10  0.182957E-09  
 118  46  112   0.246031E-07  0.479835E-07  
 118  45  112   0.669910E-08  0.130653E-07  
 118  47  112   0.674702E-08  0.131587E-07  
 118  44  112   0.136204E-09  0.265639E-09  
 118  48  112   0.138160E-09  0.269453E-09  
 118  46  113   0.376127E-07  0.698959E-07  
 118  45  113   0.102414E-07  0.190317E-07  
 118  47  113   0.103147E-07  0.191678E-07  
 118  44  113   0.208226E-09  0.386948E-09  
 118  48  113   0.211215E-09  0.392502E-09  
 118  46  114   0.569404E-07  0.100697E-06  
 118  45  114   0.155041E-07  0.274185E-07  
 118  47  114   0.156150E-07  0.276145E-07  
 118  44  114   0.315226E-09  0.557465E-09  
 118  48  114   0.319751E-09  0.565467E-09  
 118  46  115   0.853591E-07  0.143466E-06  
 118  45  115   0.232421E-07  0.390639E-07  
 118  47  115   0.234084E-07  0.393433E-07  
 118  44  115   0.472553E-09  0.794237E-09  
 118  48  115   0.479337E-09  0.805639E-09  
 118  46  116   0.126713E-06  0.202125E-06  
