# Spec No	Fractional day	Fractional time	Scans	Tint	UAV servo sent position byte	Date (DD/MM/YYYY)	Time (hh:mm:ss)	Inside temperature	Outside temperature	Total Experiment Time (sec)	Total Acquisition Time (sec)	NO2.RMS	NO2.SlCol(NO2)	NO2.SlErr(NO2)	NO2.SlCol(H2O)	NO2.SlErr(H2O)	NO2.SlCol(O3)	NO2.SlErr(O3)	NO2.SlCol(O4)	NO2.SlErr(O4)	NO2.SlCol(pola)	NO2.SlErr(pola)	NO2.SlCol(ring)	NO2.SlErr(ring)	Fluxes 500
83	77.438713	10.5291129166667	1	0.03	28	18/03/2019	10:31:44	0	0	33	30	0.0014103	7500900000000000	908670000000000	5.5854E+021	4.0266E+021	1.1265E+019	8.258E+017	4.0473E+041	4.6677E+041	0.023361	0.0017553	-0.012179	0.0012021	712.3961
84	77.43909	10.5381551388889	1	0.03	34	18/03/2019	10:32:17	0	0	32	30	0.0010069	6185800000000000	648720000000000	-3.5618E+022	2.8746E+021	1.6201E+019	5.8955E+017	-1.3986E+042	3.3324E+041	-0.0087414	0.0012532	-0.0077923	0.00085817	826.2518
85	77.439467	10.5471973611111	1	0.03	40	18/03/2019	10:32:49	0	0	33	30	0.00097347	6490700000000000	627200000000000	7.6535E+021	2.7793E+021	5.4859E+018	5.6999E+017	2.1538E+042	3.2218E+041	0.00022705	0.0012116	-0.007298	0.0008297	688.9595
86	77.439843	10.5562395833333	1	0.03	46	18/03/2019	10:33:22	0	0	32	30	0.00078265	9.0186E+015	504250000000000	6.0957E+021	2.2345E+021	4.0858E+018	4.5826E+017	4.0665E+042	2.5903E+041	-0.012265	0.00097409	-0.0067868	0.00066706	681.8566
87	77.44022	10.5652818055556	1	0.03	52	18/03/2019	10:33:55	0	0	33	30	0.00052175	1.014E+016	336160000000000	2.9863E+022	1.4896E+021	3.0168E+018	3.055E+017	8.3238E+042	1.7268E+041	0.0025218	0.00064937	-0.0068638	0.0004447	642.0672
88	77.440597	10.5743240277778	1	0.03	58	18/03/2019	10:34:27	0	0	32	30	0.00050867	1.6983E+016	327730000000000	4.5435E+022	1.4523E+021	4.4645E+018	2.9784E+017	1.2186E+043	1.6835E+041	-0.0019542	0.00063309	-0.0060653	0.00043355	713.2913
89	77.440974	10.58336625	1	0.03	64	18/03/2019	10:35:00	0	0	33	30	0.00071415	2.2571E+016	460120000000000	6.8645E+022	2.0389E+021	6.3518E+018	4.1815E+017	1.8268E+043	2.3636E+041	0.00047178	0.00088883	-0.0033469	0.00060868	733.0464
90	77.44135	10.5924084722222	1	0.03	70	18/03/2019	10:35:32	0	0	32	30	0.00099737	3.3129E+016	642590000000000	1.3721E+023	2.8475E+021	4.6714E+018	5.8398E+017	2.7895E+043	3.3009E+041	-0.0015671	0.0012413	-0.0015648	0.00085007	777.5866
91	77.441727	10.6014506944444	1	0.03	76	18/03/2019	10:36:05	0	0	33	30	0.0035968	9.6339E+015	2317400000000000	7.2602E+022	1.0269E+022	3.4021E+018	2.106E+018	1.0105E+043	1.1904E+042	-0.037861	0.0044766	0.013908	0.0030656	187.7733
92	77.442104	10.6104929166667	1	0.03	82	18/03/2019	10:36:37	0	0	33	30	0.0070583	1.1869E+016	4547600000000000	6.0306E+021	2.0151E+022	1.2294E+019	4.1328E+018	2.453E+043	2.336E+042	-0.054907	0.0087847	-0.078788	0.0060158	66.46846
93	77.442481	10.6195495833333	1	0.03	28	18/03/2019	10:37:10	0	0	32	30	0.0012152	3297200000000000	782960000000000	-1.022E+022	3.4695E+021	5.5721E+018	7.1155E+017	3.1138E+042	4.0219E+041	0.030574	0.0015125	0.016117	0.0010358	829.1134
94	77.442859	10.62860625	1	0.03	34	18/03/2019	10:37:42	0	0	33	30	0.001033	5269900000000000	665550000000000	-7.3606E+021	2.9492E+021	5.1635E+018	6.0485E+017	-2.0036E+042	3.4188E+041	-0.012525	0.0012857	-0.0018065	0.00088043	947.8366
95	77.443235	10.6376484722222	1	0.03	40	18/03/2019	10:38:15	0	0	32	30	0.00067026	2426300000000000	431840000000000	4.8287E+021	1.9136E+021	7.8268E+017	3.9245E+017	2.1888E+041	2.2183E+041	-0.0024862	0.0008342	0.0026908	0.00057126	807.934
96	77.443612	10.6466906944444	1	0.03	46	18/03/2019	10:38:48	0	0	33	30	0.00064183	4733300000000000	413520000000000	-2.9864E+021	1.8324E+021	3.3213E+018	3.7581E+017	4.9308E+042	2.1242E+041	0.0019467	0.00079882	-0.0034652	0.00054704	737.4539
97	77.443989	10.6557329166667	1	0.03	52	18/03/2019	10:39:20	0	0	32	30	0.00058954	7470700000000000	379830000000000	1.571E+022	1.6831E+021	5.6432E+018	3.4519E+017	7.1765E+042	1.9511E+041	-0.0029108	0.00073374	-0.004929	0.00050247	722.7663
98	77.444366	10.6647751388889	1	0.03	58	18/03/2019	10:39:53	0	0	33	30	0.00051352	1.2181E+016	330860000000000	3.8983E+022	1.4661E+021	4.8378E+018	3.0068E+017	1.2058E+043	1.6996E+041	-0.0045079	0.00063913	-0.0032281	0.00043768	711.2844
99	77.444742	10.6738173611111	1	0.03	64	18/03/2019	10:40:25	0	0	33	30	0.00071834	1.8612E+016	462820000000000	7.192E+022	2.0509E+021	5.2606E+018	4.206E+017	1.7136E+043	2.3774E+041	-0.0024635	0.00089404	-0.0036958	0.00061224	756.368
100	77.445119	10.6828595833333	1	0.03	70	18/03/2019	10:40:58	0	0	32	30	0.0010147	2.8414E+016	653780000000000	1.3933E+023	2.8971E+021	4.7724E+018	5.9416E+017	2.8067E+043	3.3584E+041	-0.0042605	0.0012629	-0.00063086	0.00086487	791.4709
101	77.445496	10.6919018055556	1	0.03	76	18/03/2019	10:41:30	0	0	33	30	0.0037208	5079200000000000	2397200000000000	7.5775E+022	1.0623E+022	2.2527E+018	2.1786E+018	8.6285E+042	1.2314E+042	-0.043933	0.0046308	0.016352	0.0031712	197.7951
102	77.445873	10.7009440277778	1	0.03	82	18/03/2019	10:42:03	0	0	32	30	0.007027	1.0315E+016	4527400000000000	-4.0755E+021	2.0062E+022	1.2846E+019	4.1145E+018	1.7998E+043	2.3257E+042	-0.056684	0.0087458	-0.08085	0.0059892	69.65537
103	77.446249	10.70998625	1	0.03	28	18/03/2019	10:42:35	0	0	33	30	0.001642	412780000000000	1.0579E+015	-4.5854E+021	4.688E+021	6.2924E+017	9.6145E+017	2.6778E+042	5.4345E+041	-0.031319	0.0020437	0.012517	0.0013995	862.5097
104	77.446626	10.7190284722222	1	0.03	34	18/03/2019	10:43:08	0	0	32	30	0.0013976	7077100000000000	900480000000000	-2.8283E+022	3.9903E+021	1.7807E+018	8.1835E+017	4.0356E+042	4.6256E+041	0.026665	0.0017395	0.0039024	0.0011912	1119.111
105	77.447003	10.7280706944444	1	0.03	40	18/03/2019	10:43:41	0	0	33	30	0.0008036	1878200000000000	517750000000000	1.956E+021	2.2943E+021	9.4038E+017	4.7053E+017	-1.411E+041	2.6596E+041	0.0091585	0.0010002	-0.0056463	0.00068492	816.9545
106	77.44738	10.7371129166667	1	0.03	46	18/03/2019	10:44:13	0	0	32	30	0.00075712	4.307E+015	487810000000000	1.6661E+022	2.1616E+021	2.6652E+018	4.4332E+017	3.1708E+042	2.5058E+041	-0.00013444	0.00094231	0.0068475	0.0006453	795.736
107	77.447756	10.7461551388889	1	0.03	52	18/03/2019	10:44:46	0	0	33	30	0.00061313	6959100000000000	395040000000000	2.6565E+022	1.7505E+021	6.0604E+018	3.5901E+017	7.3373E+042	2.0292E+041	-0.0092345	0.0007631	-0.0027703	0.00052258	722.6291
108	77.448134	10.7552118055556	1	0.03	58	18/03/2019	10:45:18	0	0	33	30	0.00048512	1.2598E+016	312560000000000	4.418E+022	1.385E+021	5.4637E+018	2.8405E+017	1.0116E+043	1.6056E+041	0.0013195	0.00060378	-0.0046344	0.00041348	745.8093
109	77.448511	10.7642684722222	1	0.03	64	18/03/2019	10:45:51	0	0	32	30	0.00069525	1.6441E+016	447940000000000	7.3816E+022	1.9849E+021	5.0023E+018	4.0708E+017	1.7944E+043	2.301E+041	-0.0022673	0.0008653	-0.0042456	0.00059257	782.9207
110	77.448889	10.7733251388889	1	0.03	70	18/03/2019	10:46:23	0	0	33	30	0.0010217	2.5438E+016	658260000000000	1.4942E+023	2.9169E+021	5.9895E+018	5.9822E+017	3.0057E+043	3.3814E+041	-0.0033124	0.0012716	-0.0020206	0.00087079	782.7186
111	77.449266	10.7823818055556	1	0.03	76	18/03/2019	10:46:56	0	0	32	30	0.0038836	4588300000000000	2502100000000000	8.4601E+022	1.1088E+022	1.4936E+018	2.2739E+018	9.8961E+042	1.2853E+042	-0.034184	0.0048335	0.022757	0.00331	212.6894
112	77.449643	10.7914240277778	1	0.03	82	18/03/2019	10:47:29	0	0	33	30	0.0070637	1.0155E+016	4551100000000000	1.6374E+022	2.0167E+022	5.4019E+018	4.136E+018	2.1668E+043	2.3378E+042	-0.059493	0.0087915	-0.084639	0.0060205	68.22042
113	77.450019	10.80046625	1	0.03	28	18/03/2019	10:48:01	0	0	32	30	0.00098923	4301100000000000	637350000000000	-1.0324E+022	2.8243E+021	7.9327E+018	5.7922E+017	-4.2564E+041	3.274E+041	0.020321	0.0012312	0.010675	0.00084313	1009.44
114	77.450396	10.8095084722222	1	0.03	34	18/03/2019	10:48:34	0	0	33	30	0.0011275	1972900000000000	726440000000000	-1.7344E+022	3.219E+021	1.3038E+018	6.6018E+017	-1.2461E+042	3.7316E+041	-0.012505	0.0014033	1.4729E-05	0.00096098	1264.988
115	77.450773	10.8185506944444	1	0.03	40	18/03/2019	10:49:06	0	0	33	30	0.0007679	4.1321E+015	494750000000000	4.9412E+021	2.1924E+021	2.8381E+018	4.4963E+017	1.0887E+042	2.5415E+041	-0.011601	0.00095573	0.00066354	0.00065449	870.3239
116	77.45115	10.8275929166667	1	0.03	46	18/03/2019	10:49:39	0	0	32	30	0.00061275	4.3889E+015	394790000000000	1.032E+021	1.7494E+021	5.1703E+018	3.5878E+017	3.2872E+042	2.028E+041	-0.0066807	0.00076262	-0.0068414	0.00052225	814.1468
117	77.451526	10.8366351388889	1	0.03	52	18/03/2019	10:50:11	0	0	33	30	0.00074845	8427899999999999	482220000000000	1.945E+022	2.1368E+021	6.7009E+018	4.3824E+017	7.1758E+042	2.4771E+041	0.0076662	0.00093152	-0.0077799	0.00063791	728.6119
118	77.451903	10.8456773611111	1	0.03	58	18/03/2019	10:50:44	0	0	32	30	0.00045878	1.0369E+016	295590000000000	5.2934E+022	1.3098E+021	4.4631E+018	2.6863E+017	1.2653E+043	1.5184E+041	0.0017525	0.00057099	-0.0050846	0.00039102	754.2713
119	77.45228	10.8547195833333	1	0.03	64	18/03/2019	10:51:16	0	0	33	30	0.00060848	1.3785E+016	392030000000000	8.0826E+022	1.7372E+021	4.5698E+018	3.5628E+017	2.0074E+043	2.0138E+041	-0.0022498	0.00075731	-0.0053937	0.00051861	751.964
120	77.452657	10.8637616666667	1	0.03	70	18/03/2019	10:51:49	0	0	32	30	0.00098894	2.2093E+016	637160000000000	1.5588E+023	2.8234E+021	5.4218E+018	5.7905E+017	3.2485E+043	3.273E+041	-0.0040036	0.0012308	-0.0028488	0.00084288	824.4115
121	77.453034	10.8728040277778	1	0.03	76	18/03/2019	10:52:22	0	0	33	30	0.004044	4901100000000000	2605500000000000	9.1889E+022	1.1546E+022	-1.3917E+017	2.3679E+018	9.2857E+042	1.3384E+042	-0.027569	0.0050332	0.021961	0.0034468	212.4574
122	77.45341	10.88184625	1	0.03	82	18/03/2019	10:52:54	0	0	32	30	0.0072525	9.1878E+015	4672700000000000	1.3359E+022	2.0706E+022	8.632E+018	4.2465E+018	2.3798E+043	2.4003E+042	-0.057004	0.0090265	-0.089221	0.0061814	70.10987
123	77.453787	10.8908884722222	1	0.03	28	18/03/2019	10:53:27	0	0	33	30	0.002104	3083900000000000	1355600000000000	6.9826E+021	6.0071E+021	-2.2274E+018	1.232E+018	-1.3937E+042	6.9636E+041	0.017602	0.0026187	0.012635	0.0017933	1554.336
125	77.454541	10.9089873611111	1	0.03	40	18/03/2019	10:54:32	0	0	32	30	0.00080563	1626100000000000	519060000000000	-8.6876E+021	2.3001E+021	5.7664E+018	4.7172E+017	5.8563E+041	2.6663E+041	0.00154	0.0010027	-0.0031266	0.00068665	1003.804
126	77.454919	10.9180440277778	1	0.03	46	18/03/2019	10:55:04	0	0	33	30	0.00070797	3530100000000000	456140000000000	2.0389E+022	2.0213E+021	2.7271E+018	4.1453E+017	4.7597E+042	2.3431E+041	0.0018554	0.00088114	-0.0012679	0.00060341	814.0218
127	77.455295	10.92708625	1	0.03	52	18/03/2019	10:55:37	0	0	32	30	0.00059814	6249100000000000	385380000000000	2.4938E+022	1.7077E+021	7.611E+018	3.5023E+017	8.2339E+042	1.9796E+041	-0.0016326	0.00074444	-0.0032536	0.0005098	752.3423
128	77.455672	10.9361284722222	1	0.03	58	18/03/2019	10:56:10	0	0	33	30	0.00047373	8223200000000000	305220000000000	4.2681E+022	1.3525E+021	5.6381E+018	2.7738E+017	1.2254E+043	1.5679E+041	0.0010126	0.0005896	-0.0067829	0.00040377	717.0578
129	77.456049	10.9451706944444	1	0.03	64	18/03/2019	10:56:42	0	0	32	30	0.00056554	9.5757E+015	364370000000000	8.1635E+022	1.6146E+021	5.5358E+018	3.3114E+017	2.1105E+043	1.8717E+041	-0.00068128	0.00070386	-0.00779	0.00048201	770.6705
130	77.456426	10.9542129166667	1	0.03	70	18/03/2019	10:57:15	0	0	33	30	0.00094726	1.8198E+016	610310000000000	1.6239E+023	2.7044E+021	6.1384E+018	5.5465E+017	3.3656E+043	3.1351E+041	-0.0020008	0.001179	-0.0039376	0.00080736	811.3565
131	77.456802	10.9632551388889	1	0.03	76	18/03/2019	10:57:47	0	0	32	30	0.0042961	438340000000000	2767900000000000	8.3218E+022	1.2265E+022	-3.6558E+017	2.5155E+018	1.0684E+043	1.4218E+042	-0.033257	0.0053469	0.024636	0.0036616	231.8266
132	77.457179	10.9722973611111	1	0.03	82	18/03/2019	10:58:20	0	0	33	30	0.0073255	6116500000000000	4719700000000000	7.5301E+021	2.0914E+022	7.9801E+018	4.2893E+018	2.0297E+043	2.4245E+042	-0.070476	0.0091173	-0.081598	0.0062436	69.83748
135	77.458309	10.9994240277778	1	0.03	40	18/03/2019	10:59:57	0	0	33	30	0.0010914	-814330000000000	703170000000000	-1.3103E+022	3.1159E+021	4.8222E+018	6.3904E+017	-1.037E+042	3.6121E+041	0.0074778	0.0013583	0.0056243	0.0009302	1234.359
136	77.458686	11.00846625	1	0.03	46	18/03/2019	11:00:30	0	0	32	30	0.0008299	2726700000000000	534700000000000	8.9838E+021	2.3694E+021	4.2882E+018	4.8593E+017	-1.3299E+042	2.7466E+041	0.0040162	0.0010329	-0.0038419	0.00070733	882.0407
137	77.459063	11.0175084722222	1	0.03	52	18/03/2019	11:01:03	0	0	33	30	0.00067937	5155400000000000	437710000000000	1.6612E+022	1.9396E+021	6.3554E+018	3.9779E+017	7.4999E+042	2.2485E+041	-0.0056191	0.00084554	-0.0061883	0.00057904	773.8246
138	77.45944	11.0265506944444	1	0.03	58	18/03/2019	11:01:35	0	0	32	30	0.0005151	5938000000000000	331870000000000	4.4299E+022	1.4706E+021	4.4969E+018	3.016E+017	1.1706E+043	1.7048E+041	-0.007114	0.00064109	-0.0074154	0.00043902	742.4649
139	77.459816	11.0355929166667	1	0.03	64	18/03/2019	11:02:08	0	0	33	30	0.0005285	9.429E+015	340510000000000	8.6574E+022	1.5089E+021	5.4153E+018	3.0945E+017	2.1514E+043	1.7491E+041	0.0019464	0.00065777	-0.007234	0.00045045	773.3199
140	77.460193	11.0446351388889	1	0.03	70	18/03/2019	11:02:40	0	0	32	30	0.00086016	1.7786E+016	554190000000000	1.6159E+023	2.4558E+021	6.0254E+018	5.0365E+017	3.2701E+043	2.8468E+041	-0.0013061	0.0010706	-0.0045179	0.00073313	852.663
141	77.46057	11.0536773611111	1	0.03	76	18/03/2019	11:03:13	0	0	33	30	0.0046301	-1097200000000000	2.9831E+015	9.4829E+022	1.3219E+022	1.0663E+017	2.711E+018	1.1148E+043	1.5324E+042	-0.02926	0.0057626	0.024947	0.0039463	235.6371
142	77.460947	11.0627340277778	1	0.03	82	18/03/2019	11:03:45	0	0	33	30	0.0073454	1.6924E+015	4732600000000000	4.1913E+021	2.0971E+022	1.1161E+019	4.3009E+018	2.3693E+043	2.431E+042	-0.060114	0.0091421	-0.086091	0.0062606	69.43706
145	77.462078	11.0898751388889	1	0.03	40	18/03/2019	11:05:23	0	0	32	30	0.018762	1.0925E+016	1.2088E+016	4.285E+022	5.3565E+022	5.2374E+019	1.0986E+019	9.5171E+043	6.2094E+042	0.23847	0.023351	-0.067114	0.015991	1780.869
146	77.462455	11.0989173611111	1	0.03	46	18/03/2019	11:05:56	0	0	33	30	0.00086539	203400000000000	557560000000000	1.1819E+022	2.4707E+021	1.9165E+017	5.0671E+017	5.5413E+042	2.8641E+041	-0.018275	0.0010771	0.0014535	0.00073758	858.3232
147	77.462832	11.1079595833333	1	0.03	52	18/03/2019	11:06:28	0	0	32	30	0.00049051	1454900000000000	316030000000000	2.8519E+022	1.4004E+021	3.757E+018	2.8721E+017	7.7071E+042	1.6234E+041	-0.0038741	0.00061049	-0.0023608	0.00041807	761.0661
148	77.463208	11.1170018055556	1	0.03	58	18/03/2019	11:07:01	0	0	33	30	0.00053346	5207300000000000	343700000000000	3.9221E+022	1.523E+021	7.0739E+018	3.1235E+017	1.29E+043	1.7655E+041	-0.0021297	0.00066394	-0.0074872	0.00045467	722.0743
149	77.463585	11.1260440277778	1	0.03	64	18/03/2019	11:07:33	0	0	33	30	0.00048104	9.555E+015	309930000000000	8.6396E+022	1.3734E+021	7.7266E+018	2.8166E+017	2.11E+043	1.5921E+041	-0.00043047	0.0005987	-0.0063641	0.00041	793.1215
150	77.463962	11.13508625	1	0.03	70	18/03/2019	11:08:06	0	0	32	30	0.00081899	1.7121E+016	527660000000000	1.6362E+023	2.3382E+021	5.8033E+018	4.7954E+017	3.3231E+043	2.7105E+041	-0.0042097	0.0010193	-0.0042511	0.00069803	859.6512
151	77.464339	11.1441284722222	1	0.03	76	18/03/2019	11:08:38	0	0	33	30	0.0046554	-34037000000000	2999400000000000	9.5192E+022	1.3291E+022	-2.5524E+018	2.7258E+018	1.1553E+043	1.5407E+042	-0.030554	0.0057941	0.027264	0.0039678	246.2924
152	77.464715	11.1531706944444	1	0.03	82	18/03/2019	11:09:11	0	0	32	30	0.0073792	6481200000000000	4754400000000000	1.3429E+022	2.1068E+022	7.0693E+018	4.3207E+018	2.2896E+043	2.4422E+042	-0.058897	0.0091842	-0.084145	0.0062894	71.97658
156	77.466222	11.1893395833333	1	0.03	46	18/03/2019	11:11:21	0	0	32	30	0.00073501	713670000000000	473560000000000	1.0985E+022	2.0985E+021	6.7738E+018	4.3037E+017	6.2496E+042	2.4326E+041	-0.008346	0.00091479	-0.0055615	0.00062646	929.3239
157	77.466599	11.1983818055556	1	0.03	52	18/03/2019	11:11:54	0	0	33	30	0.00064452	6406800000000000	415260000000000	2.4798E+022	1.8401E+021	5.9256E+018	3.7738E+017	6.4352E+042	2.1331E+041	-0.0023844	0.00080217	-0.0053997	0.00054933	795.7704
158	77.466976	11.2074244444444	1	0.03	58	18/03/2019	11:12:26	0	0	33	30	0.00055662	8200600000000000	358630000000000	4.1996E+022	1.5892E+021	6.7606E+018	3.2592E+017	1.073E+043	1.8422E+041	-0.0039473	0.00069277	-0.009437	0.00047441	756.2762
159	77.467353	11.2164665277778	1	0.03	64	18/03/2019	11:12:59	0	0	32	30	0.00050577	1.0482E+016	325860000000000	7.8497E+022	1.444E+021	7.7095E+018	2.9614E+017	2.1682E+043	1.6739E+041	-0.0013686	0.00062948	-0.0059001	0.00043108	820.8693
160	77.46773	11.2255084722222	1	0.03	70	18/03/2019	11:13:31	0	0	33	30	0.00079241	1.9585E+016	510540000000000	1.5989E+023	2.2623E+021	6.5528E+018	4.6397E+017	3.2359E+043	2.6226E+041	-0.0047979	0.00098623	-0.0045629	0.00067537	832.3035
161	77.468106	11.2345506944444	1	0.03	76	18/03/2019	11:14:04	0	0	32	30	0.0048458	1153300000000000	3122100000000000	9.4246E+022	1.3835E+022	-1.2662E+018	2.8373E+018	1.1732E+043	1.6038E+042	-0.032669	0.006031	0.028411	0.0041301	262.8896
162	77.468483	11.2435929166667	1	0.03	82	18/03/2019	11:14:36	0	0	33	30	0.0072993	8021200000000000	4702800000000000	1.8673E+022	2.084E+022	1.1278E+019	4.2739E+018	2.1488E+043	2.4158E+042	-0.052298	0.0090846	-0.084907	0.0062212	70.42467
165	77.469613	11.2707195833333	1	0.03	40	18/03/2019	11:16:14	0	0	32	30	0.025378	4.1696E+016	1.6351E+016	-1.8197E+023	7.2454E+022	8.6012E+019	1.4859E+019	5.0177E+043	8.399E+042	-0.83545	0.031585	-0.76206	0.02163	1994.177
166	77.46999	11.2797618055556	1	0.03	46	18/03/2019	11:16:47	0	0	33	30	0.00072496	2923200000000000	467090000000000	1.9659E+022	2.0698E+021	1.127E+018	4.2448E+017	2.7787E+041	2.3993E+041	-0.038686	0.00090229	0.0049336	0.00061789	939.1445
167	77.470367	11.2888040277778	1	0.03	52	18/03/2019	11:17:19	0	0	32	30	0.00059938	4843200000000000	386170000000000	1.8642E+022	1.7112E+021	4.9712E+018	3.5095E+017	6.3847E+042	1.9837E+041	-0.0025349	0.00074599	0.00080783	0.00051086	813.8176
168	77.470744	11.29784625	1	0.03	58	18/03/2019	11:17:52	0	0	33	30	0.00065139	6862200000000000	419680000000000	4.8257E+022	1.8597E+021	5.4292E+018	3.8141E+017	1.3885E+043	2.1558E+041	-0.0036969	0.00081072	-0.0049266	0.00055519	765.8674
169	77.47112	11.3068884722222	1	0.03	64	18/03/2019	11:18:24	0	0	33	30	0.00047681	1.0287E+016	307200000000000	8.2005E+022	1.3613E+021	6.0365E+018	2.7918E+017	2.0946E+043	1.578E+041	-0.0021006	0.00059343	-0.0069108	0.00040639	801.1538
170	77.471497	11.3159306944444	1	0.03	70	18/03/2019	11:18:57	0	0	32	30	0.00075822	1.7072E+016	488510000000000	1.6029E+023	2.1647E+021	7.105E+018	4.4396E+017	3.299E+043	2.5094E+041	-0.0052773	0.00094367	-0.0050351	0.00064624	873.4665
171	77.471874	11.3249729166667	1	0.03	76	18/03/2019	11:19:29	0	0	33	30	0.0047588	1350100000000000	3066000000000000	9.7895E+022	1.3586E+022	-6.1476E+017	2.7864E+018	1.1456E+043	1.575E+042	-0.026584	0.0059227	0.026012	0.0040559	266.2329
172	77.472251	11.3340151388889	1	0.03	82	18/03/2019	11:20:02	0	0	32	30	0.0073179	7017600000000000	4714800000000000	1.646E+022	2.0893E+022	9.0602E+018	4.2848E+018	2.1233E+043	2.4219E+042	-0.052063	0.0091078	-0.076195	0.0062371	73.89905
173	77.472627	11.3430573611111	1	0.03	28	18/03/2019	11:20:35	0	0	33	30	0.034986	6.1573E+016	2.2541E+016	1.2574E+023	9.9886E+022	7.8183E+019	2.0485E+019	1.2814E+044	1.1579E+043	0.82228	0.043544	-0.70789	0.029819	1933.407
176	77.473759	11.3702129166667	1	0.03	46	18/03/2019	11:22:12	0	0	33	30	0.00090381	3634500000000000	582310000000000	6.3473E+021	2.5804E+021	8.6428E+018	5.292E+017	2.8368E+042	2.9912E+041	0.0034955	0.0011249	-0.0012087	0.00077032	952.9613
177	77.474136	11.3792551388889	1	0.03	52	18/03/2019	11:22:45	0	0	32	30	0.00097599	4.4281E+015	628820000000000	2.6989E+022	2.7865E+021	4.3435E+018	5.7147E+017	6.2875E+042	3.2301E+041	-0.0048865	0.0012147	-0.0025588	0.00083184	823.0406
178	77.474512	11.3882973611111	1	0.03	58	18/03/2019	11:23:17	0	0	33	30	0.0006784	6648000000000000	437080000000000	4.4584E+022	1.9368E+021	5.3268E+018	3.9722E+017	1.3024E+043	2.2452E+041	0.0015092	0.00084433	-0.0066167	0.00057821	762.1507
179	77.474889	11.3973395833333	1	0.03	64	18/03/2019	11:23:50	0	0	32	30	0.00044509	7833800000000000	286770000000000	8.8279E+022	1.2707E+021	8.0726E+018	2.6061E+017	2.1959E+043	1.4731E+041	7.4944E-05	0.00055396	-0.0089739	0.00037935	809.1399
180	77.475266	11.4063818055556	1	0.03	70	18/03/2019	11:24:22	0	0	33	30	0.00066546	1.5062E+016	428750000000000	1.6286E+023	1.8999E+021	6.7547E+018	3.8964E+017	3.3522E+043	2.2024E+041	-0.0068406	0.00082823	-0.0054298	0.00056718	855.9165
181	77.475643	11.4154240277778	1	0.03	76	18/03/2019	11:24:55	0	0	32	30	0.0047463	1364500000000000	3058000000000000	9.4888E+022	1.3551E+022	4.7851E+017	2.7791E+018	1.0684E+043	1.5708E+042	-0.022682	0.0059072	0.025843	0.0040453	283.8677
182	77.476019	11.42446625	1	0.03	82	18/03/2019	11:25:28	0	0	33	30	0.0073534	4403900000000000	4737700000000000	1.9344E+022	2.0994E+022	6.6339E+018	4.3056E+018	2.4182E+043	2.4337E+042	-0.057349	0.009152	-0.088282	0.0062673	71.39375
183	77.476396	11.4335084722222	1	0.03	28	18/03/2019	11:26:00	0	0	32	30	0.025423	4.1786E+016	1.638E+016	-1.7975E+023	7.2583E+022	8.5912E+019	1.4886E+019	5.258E+043	8.414E+042	-0.79907	0.031641	-0.75992	0.021668	1993.427
186	77.477526	11.4606351388889	1	0.03	46	18/03/2019	11:27:38	0	0	32	30	0.00091955	6162700000000000	592460000000000	7.0349E+021	2.6253E+021	2.6683E+018	5.3842E+017	-1.829E+042	3.0433E+041	-0.011875	0.0011445	-0.003449	0.00078374	1045.896
187	77.477903	11.4696773611111	1	0.03	52	18/03/2019	11:28:10	0	0	33	30	0.00098113	7274900000000000	632130000000000	2.8341E+022	2.8011E+021	6.8307E+018	5.7448E+017	6.3407E+042	3.2472E+041	-0.0042478	0.0012211	-0.0017231	0.00083623	825.7514
188	77.47828	11.4787195833333	1	0.03	58	18/03/2019	11:28:43	0	0	32	30	0.0006817	8287100000000001	439210000000000	4.3685E+022	1.9463E+021	5.5751E+018	3.9915E+017	1.2173E+043	2.2562E+041	-0.0032399	0.00084844	-0.0048643	0.00058102	804.6943
189	77.478657	11.4877618055556	1	0.03	64	18/03/2019	11:29:15	0	0	33	30	0.00046831	9.9636E+015	301730000000000	7.9833E+022	1.337E+021	7.6689E+018	2.7421E+017	2.0806E+043	1.5499E+041	-0.0040815	0.00058285	-0.0084731	0.00039914	808.9327
190	77.479034	11.4968040277778	1	0.03	70	18/03/2019	11:29:48	0	0	32	30	0.00063631	1.8016E+016	409970000000000	1.5888E+023	1.8167E+021	6.9118E+018	3.7258E+017	3.1447E+043	2.1059E+041	-0.0089746	0.00079195	-0.0041963	0.00054233	893.7147
191	77.479411	11.5058606944444	1	0.03	76	18/03/2019	11:30:21	0	0	33	30	0.0046697	3188000000000000	3008700000000000	9.8356E+022	1.3332E+022	4.386E+017	2.7343E+018	9.8665E+042	1.5455E+042	-0.034514	0.0058119	0.031913	0.0039801	280.1661
192	77.479788	11.5149173611111	1	0.03	82	18/03/2019	11:30:53	0	0	32	30	0.0074325	7529500000000000	4788700000000000	1.5275E+022	2.122E+022	1.3956E+019	4.3519E+018	2.4673E+043	2.4599E+042	-0.053257	0.0092505	-0.079592	0.0063348	74.25944
193	77.480165	11.5239595833333	1	0.03	28	18/03/2019	11:31:26	0	0	33	30	0.027621	2.799E+016	1.7796E+016	1.5221E+022	7.8858E+022	9.6291E+019	1.6173E+019	1.3448E+044	9.1414E+042	0.65172	0.034377	-0.35196	0.023542	1883.743
