# Spec No	Fractional day	Fractional time	Scans	Tint	UAV servo sent position byte	Date (DD/MM/YYYY)	Time (hh:mm:ss)	Inside temperature	Outside temperature	Total Experiment Time (sec)	Total Acquisition Time (sec)	NO2.RMS	NO2.SlCol(NO2)	NO2.SlErr(NO2)	NO2.SlCol(H2O)	NO2.SlErr(H2O)	NO2.SlCol(O3)	NO2.SlErr(O3)	NO2.SlCol(O4)	NO2.SlErr(O4)	NO2.SlCol(pola)	NO2.SlErr(pola)	NO2.SlCol(ring)	NO2.SlErr(ring)	Fluxes 500
21	77.415349	9.96837958333333	1	0.03	76	18/03/2019	09:58:06	0	0	33	30	0.0028443	1.1748E+016	1832600000000000	5.4681E+022	8.1206E+021	3.611E+018	1.6654E+018	1.0147E+043	9.4136E+041	-0.033318	0.00354	0.0028019	0.0024242	159.907
22	77.415726	9.97742180555555	1	0.03	82	18/03/2019	09:58:38	0	0	32	30	0.0070121	1.1553E+016	4517800000000000	6.1105E+021	2.002E+022	1.1262E+019	4.1057E+018	2.2587E+043	2.3207E+042	-0.058955	0.0087272	-0.084807	0.0059764	63.12554
23	77.416103	9.98646402777778	1	0.03	28	18/03/2019	09:59:11	0	0	33	30	0.00033968	1669500000000000	218850000000000	-9.4248E+021	9.698E+020	1.442E+018	1.9889E+017	1.8067E+042	1.1242E+041	0.0083569	0.00042277	-0.0080921	0.00028952	411.7518
24	77.416479	9.99550625	1	0.03	34	18/03/2019	09:59:43	0	0	33	30	0.00043966	3379500000000000	283270000000000	-1.2343E+022	1.2552E+021	6.0595E+018	2.5743E+017	1.2206E+042	1.4551E+041	0.0022688	0.0005472	-0.005209	0.00037473	522.869
25	77.416856	10.0045484722222	1	0.03	40	18/03/2019	10:00:16	0	0	32	30	0.00034827	2399800000000000	224390000000000	8.1613E+021	9.9433E+020	6.4598E+018	2.0392E+017	3.9871E+042	1.1526E+041	-0.0024869	0.00043346	-0.0072307	0.00029684	487.2217
26	77.417233	10.0135906944444	1	0.03	46	18/03/2019	10:00:48	0	0	33	30	0.00037276	5043000000000000	240170000000000	3.8637E+021	1.0642E+021	6.8117E+018	2.1826E+017	5.3166E+042	1.2337E+041	0.0047531	0.00046394	-0.0080828	0.00031771	536.1828
27	77.41761	10.0226473611111	1	0.03	52	18/03/2019	10:01:21	0	0	32	30	0.00040169	5775700000000001	258810000000000	2.0192E+022	1.1468E+021	4.8722E+018	2.352E+017	1.0486E+043	1.3294E+041	0.00038006	0.00049995	-0.010078	0.00034237	501.8784
28	77.417988	10.0317040277778	1	0.03	58	18/03/2019	10:01:54	0	0	33	30	0.00068795	8474000000000000	443240000000000	4.6654E+022	1.9641E+021	4.4615E+018	4.0282E+017	1.5668E+043	2.2769E+041	0.0061055	0.00085623	-0.011047	0.00058635	531.3696
29	77.418364	10.04074625	1	0.03	64	18/03/2019	10:02:26	0	0	32	30	0.0010334	1.8282E+016	665830000000000	8.2077E+022	2.9505E+021	4.7448E+018	6.051E+017	2.3873E+043	3.4203E+041	0.0039157	0.0012862	-0.0096113	0.0008808	633.5741
30	77.418741	10.0497884722222	1	0.03	70	18/03/2019	10:02:59	0	0	33	30	0.0011304	4.5025E+016	728310000000000	1.3566E+023	3.2273E+021	4.9806E+018	6.6188E+017	2.9557E+043	3.7412E+041	0.0011506	0.0014069	-0.0033542	0.00096345	701.5655
31	77.419118	10.0588306944444	1	0.03	76	18/03/2019	10:03:31	0	0	33	30	0.0030634	1.0507E+016	1973700000000000	6.1423E+022	8.746E+021	3.3219E+018	1.7937E+018	1.0117E+043	1.0139E+042	-0.040207	0.0038127	0.0049433	0.0026109	161.2439
32	77.419495	10.0678729166667	1	0.03	82	18/03/2019	10:04:04	0	0	32	30	0.0071641	1.2267E+016	4615700000000000	-1.4704E+021	2.0454E+022	1.126E+019	4.1947E+018	2.0756E+043	2.371E+042	-0.059651	0.0089164	-0.086207	0.006106	62.4683
33	77.419871	10.0769151388889	1	0.03	28	18/03/2019	10:04:36	0	0	33	30	0.00045066	1482700000000000	290350000000000	-1.7064E+022	1.2866E+021	7.3046E+018	2.6387E+017	1.5393E+042	1.4915E+041	0.0021505	0.00056088	-0.0077728	0.0003841	440.4377
34	77.420248	10.0859573611111	1	0.03	34	18/03/2019	10:05:09	0	0	32	30	0.00031539	2189800000000000	203210000000000	-4.0589E+021	9.0046E+020	3.0801E+018	1.8467E+017	1.0268E+042	1.0438E+041	0.006426	0.00039254	-0.00482	0.00026881	492.0461
35	77.420625	10.0949995833333	1	0.03	40	18/03/2019	10:05:41	0	0	33	30	0.00046143	3029200000000000	297300000000000	3.2478E+021	1.3174E+021	6.8994E+018	2.7018E+017	4.0687E+042	1.5272E+041	0.0076301	0.0005743	-0.0088583	0.00039328	540.1005
36	77.421002	10.1040418055556	1	0.03	46	18/03/2019	10:06:14	0	0	32	30	0.00030729	4821200000000000	197990000000000	8.4037E+021	8.7733E+020	4.21E+018	1.7993E+017	5.9949E+042	1.017E+041	0.0057332	0.00038246	-0.0098803	0.00026191	511.6303
37	77.421379	10.1130840277778	1	0.03	52	18/03/2019	10:06:47	0	0	33	30	0.00035098	6322100000000000	226130000000000	2.0939E+022	1.0021E+021	4.5539E+018	2.0551E+017	9.8478E+042	1.1616E+041	0.0039772	0.00043683	-0.011076	0.00029914	509.1855
38	77.421755	10.12212625	1	0.03	58	18/03/2019	10:07:19	0	0	32	30	0.00064578	1.2202E+016	416070000000000	4.5801E+022	1.8437E+021	4.6795E+018	3.7812E+017	1.4947E+043	2.1373E+041	0.0021448	0.00080374	-0.0097382	0.00055041	577.3692
39	77.422132	10.1311684722222	1	0.03	64	18/03/2019	10:07:52	0	0	33	30	0.00097236	2.125E+016	626480000000000	7.7258E+022	2.7761E+021	4.6392E+018	5.6934E+017	2.2237E+043	3.2181E+041	0.0031458	0.0012102	-0.0089935	0.00082875	636.5781
40	77.422509	10.1402106944444	1	0.03	70	18/03/2019	10:08:24	0	0	33	30	0.0011546	4.6217E+016	743910000000000	1.3697E+023	3.2965E+021	5.1113E+018	6.7606E+017	2.9288E+043	3.8214E+041	-0.00056653	0.001437	-0.0031914	0.0009841	711.8131
41	77.422886	10.1492529166667	1	0.03	76	18/03/2019	10:08:57	0	0	32	30	0.0031298	9.1944E+015	2.0165E+015	6.3806E+022	8.9355E+021	2.7198E+018	1.8326E+018	1.066E+043	1.0358E+042	-0.03902	0.0038953	0.0077284	0.0026675	166.9776
42	77.423262	10.1582951388889	1	0.03	82	18/03/2019	10:09:29	0	0	33	30	0.0069958	9.5191E+015	4507300000000000	-1.1307E+020	1.9973E+022	1.2107E+019	4.0962E+018	2.3392E+043	2.3153E+042	-0.059628	0.008707	-0.086479	0.0059626	62.953
44	77.424016	10.1763795833333	1	0.03	34	18/03/2019	10:10:34	0	0	33	30	0.00056468	-41119000000000	363820000000000	-1.3531E+022	1.6122E+021	1.0559E+019	3.3064E+017	5.2952E+042	1.8689E+041	0.011514	0.0007028	-0.0070353	0.00048128	498.5626
