# Spec No	Date (DD/MM/YYYY)	Time (hh:mm:ss)	Fractional day	Fractional time	Latitude	Longitude	Elev. viewing angle	Azim. viewing angle	NO2.RMS	NO2.SlCol(no2)	NO2.SlErr(no2)	NO2.SlCol(o3)	NO2.SlErr(o3)	NO2.SlCol(o4)	NO2.SlErr(o4)	NO2.SlCol(h2o)	NO2.SlErr(h2o)	NO2.SlCol(ring)	NO2.SlErr(ring)	NO2.Shift(Spectrum)	NO2.Stretch(Spectrum)1	NO2.Stretch(Spectrum)2	Fluxes 500
22	18/03/2019	09:45:00	77.406262	9.75027777777778	44	28	12	185	0.00053346	2.7439E+016	375470000000000	8.4756E+017	3.8964E+017	2.7488E+043	2.1168E+041	1.3956E+023	5.0248E+021	0.0012765	0.00052808	0.028046	-8.7938E-05	0	9018.054
23	18/03/2019	09:45:43	77.406748	9.76194444444445	44	28	18	185	0.0004919	1.6299E+016	346220000000000	8.5303E+017	3.5928E+017	1.8155E+043	1.9518E+041	8.7344E+022	4.6334E+021	0.0014135	0.00048694	0.026718	-8.2315E-05	0	7807.968
24	18/03/2019	09:46:28	77.407269	9.77444444444445	44	28	30	185	0.0004492	8874700000000001	316160000000000	3.751E+016	3.2809E+017	8.3546E+042	1.7824E+041	5.6632E+022	4.2311E+021	0.0061097	0.00044467	0.026335	-7.8973E-05	0	6643.491
25	18/03/2019	09:47:13	77.407789	9.78694444444445	44	28	48	185	0.00039517	5596600000000000	278130000000000	5.9059E+017	2.8863E+017	2.0839E+042	1.568E+041	2.7719E+022	3.7222E+021	0.0087273	0.00039118	0.025499	-7.5438E-05	0	5779.794
26	18/03/2019	09:47:55	77.408275	9.79861111111111	44	28	60	185	0.00041285	3824800000000000	290580000000000	-2.7542E+018	3.0154E+017	1.0773E+042	1.6382E+041	4.2503E+022	3.8887E+021	0.0085551	0.00040869	0.024784	-7.197E-05	0	4968.663
27	18/03/2019	09:49:16	77.409213	9.82111111111111	44	28	89	185	0.00025822	2495200000000000	181740000000000	-1.3405E+017	1.886E+017	2.6888E+041	1.0246E+041	1.7336E+022	2.4322E+021	-0.0024408	0.00025561	0.022807	-9.3972E-05	0	2749.775
28	18/03/2019	09:50:13	77.409873	9.83694444444445	44	28	3	185	0.0014002	2.2352E+016	985470000000000	1.8876E+018	1.0227E+018	8.2231E+042	5.5558E+041	4.8993E+022	1.3188E+022	-0.0014822	0.001386	0.048497	-4.3842E-05	0	1495.842
29	18/03/2019	09:50:55	77.410359	9.84861111111111	44	28	6	185	0.0004231	5.3921E+016	297790000000000	1.9705E+018	3.0903E+017	2.8503E+043	1.6788E+041	1.6891E+023	3.9853E+021	0.0047679	0.00041883	0.018858	-0.00012364	0	5571.936
30	18/03/2019	09:51:37	77.410845	9.86027777777778	44	28	12	185	0.00051151	2.8354E+016	360010000000000	1.3291E+018	3.736E+017	2.7349E+043	2.0296E+041	1.3466E+023	4.818E+021	0.0012268	0.00050635	0.021489	-7.3623E-05	0	9255.812
31	18/03/2019	09:52:19	77.411331	9.87194444444445	44	28	18	185	0.00047779	1.5542E+016	336280000000000	6.5085E+017	3.4897E+017	1.7978E+043	1.8958E+041	9.4721E+022	4.5004E+021	0.001762	0.00047297	0.021359	-7.3741E-05	0	8018.901
32	18/03/2019	09:53:00	77.411817	9.88361111111111	44	28	30	185	0.00044682	7313900000000000	314480000000000	-6.7724E+017	3.2636E+017	7.9328E+042	1.773E+041	5.1451E+022	4.2087E+021	0.0058876	0.00044231	0.021256	-6.2868E-05	0	6832.217
33	18/03/2019	09:53:45	77.412338	9.89611111111111	44	28	48	185	0.00040431	3386000000000000	284570000000000	-1.6391E+018	2.9531E+017	2.7953E+042	1.6043E+041	3.6294E+022	3.8083E+021	0.009563	0.00040023	0.020651	-6.4544E-05	0	5983.747
34	18/03/2019	09:54:31	77.412859	9.90861111111111	44	28	60	185	0.00037802	2828700000000000	266060000000000	1.5982E+018	2.7611E+017	1.5413E+042	1.5E+041	2.518E+022	3.5607E+021	0.0076251	0.00037421	0.020622	-6.5993E-05	0	5220.439
35	18/03/2019	09:55:51	77.413796	9.93111111111111	44	28	89	185	0.00023877	1479200000000000	168050000000000	-5.7413E+016	1.744E+017	3.4802E+041	9.4744E+040	2.1198E+022	2.2491E+021	-0.0017804	0.00023636	0.019092	-7.9342E-05	0	2832.505
36	18/03/2019	09:56:48	77.414456	9.94694444444444	44	28	3	185	0.0012774	1.9193E+016	899090000000000	9.5231E+017	9.3303E+017	7.0088E+042	5.0688E+041	5.267E+022	1.2032E+022	-0.00098823	0.0012645	0.043823	-3.2782E-05	0	1573.284
37	18/03/2019	09:57:30	77.414942	9.95861111111111	44	28	6	185	0.00041069	4.6085E+016	289060000000000	8.0783E+017	2.9997E+017	2.5433E+043	1.6296E+041	1.4337E+023	3.8684E+021	0.0061724	0.00040655	0.015295	-0.00011053	0	5702.168
38	18/03/2019	09:58:12	77.415428	9.97027777777778	44	28	12	185	0.0005117	2.5939E+016	360150000000000	1.2766E+018	3.7374E+017	2.5209E+043	2.0304E+041	1.2284E+023	4.8198E+021	0.0031603	0.00050654	0.018257	-6.2757E-05	0	9731.674
