sn_name,gal_mag,redshift
1996az,0.840001

1996ba,0.659999

1996ax,0.229999

1996bc,0.460001

1996bb,0.56

1996aw,20.2,0.209998

1996ay,0.619998

1996bi,0.600001

1996bj,0.570001

1996bd,0.28

1996bg,17.8,0.11575

1996bh,0.43

1996be,0.219998

1996bf,0.249999

1996bl,16.19,0.036001

1996bk,12.24,0.006722

1996bz,18.26

1996bq,14.245,0.030794

1996bn,15.035,0.013539

1996bo,13.209,0.017286

1996bv,15.51,0.016667

1996br,15.657,0.063

1996bs,16.68

1996bt,15.316,0.008961

1996bu,10.429,0.00388

1996bx,18.4,0.060001

1996bw,13.764,0.018093

1996by,13.675,0.013722

1996cb,13.166,0.002349

1996ca,13.577,0.016365

1996ce,14.751,0.0494

1996cd,15.66,0.04648

1996cc,12.974,0.006944

1996co,17.48,0.070865

1997U

1997A,17.35,0.058473

1997F,0.580001

1997H,0.529999

1997I,0.180001

1997L,0.55

1997N,0.180001

1997G,0.762997

1997J,0.618998

1997M,0.43

1997Q,0.440001

1997R,0.649999

1997S,0.609998

1997P,0.469998

1997K,0.590001

1997O,0.369999

1997V

1997B,13.213,0.010387

1997C,14.903,0.022665

1997D,13.531,0.00531

1997E,12.998,0.013345

1997T,15.2,0.041999

1997W,13.764,0.018093

1997X,11.663,0.003732

1997Y,14.858,0.015984

1997Z,12.215,0.008484

1997ac,0.320001

1997ab,17,0.012008

1997aa,14.52,0.012158

1997aj,0.580998

1997af,0.579

1997ae

1997ag,0.590001

1997ah,0.730001

1997ai,0.450001

1997ak,0.349998

1997al,0.619998

1997am,0.416001

1997an,0.489998

1997ao

1997aq,0.509999

1997ar,0.359999

1997ap,0.83

1997ad

1997bl,0.190001

1997aw,0.600001

1997at

1997as,0.509999

1997av

1997ay,0.619998

1997au

1997bc,0.259999

1997bd,0.67

1997bh,0.4

1997az,0.040001

1997ba

1997bb,0.519999

1997bg,0.190001

1997be

1997ax,18.77,0.17682

1997bf,0.15

