sn_name,gal_mag,redshift
1963V,16.5

1963R,16.58,0.030794

1963T,18.14

1963S,15.703,0.032973

1963U,15.004,0.018285

1964A,10.429,0.00388

1964B,15.31,0.017972

1964C,16.5

1964D,14.14,0.008962

1964E,13.184,0.003603

1964G,16.02,0.027943

1964H,13.046,0.003285

1964F,10.15,0.005225

1964N,15.497,0.034968

1964O

1964I,18

1964J,15.604,0.016444

1964K,15.881,0.015777

1964L,10.92,0.002699

1964M,17.48,0.019038

1965A,14.232,0.025339

1965O

1965B,12.64,0.025424

1965C,16.3

1965D,14.767,0.010811

1965P,13.176,0.015818

1965G,12.411,0.008577

1965E,16.73,0.021955

1965F,16.08,0.036208

1965H,11.466,0.005056

1965I,10.862,0.003922

1965J,12.6,0.006012

1965K,14.392,0.017005

1965L,10.429,0.00388

1965M,11.646,0.007437

1965N,13.462,0.017151

1966A,14.185,0.014243

1966C,15.79,0.03455

1966O

1966B,13.434,0.003273

1966D,15.266,0.021847

1966E,12.373,0.007004

1966F,15.725,0.038861

1966G,12.645,0.016776

1966I,17.32,0.020304

1966H,17

1966N,16.33,0.01572

1966L,15.719,0.015203

1966M,16.5

1966K,14.881,0.03277

1966J,10.885,0.00221

1967A,18.5

1967B,15.372,0.027722

1967D,15.773,0.020641

1967C,12.545,0.004345

1967E,15.69,0.088567

1967G,18

1967I,16.5

1967H,10.408,0.008023

1967J,15.476,0.015929

1967K,16.09,0.021931

1968A,12.529,0.017678

1968V,11.94,0.008062

1968B,12.74,0.023921

1968F,15.031,0.02278

1968C,18

1968D,9.76,0.000133

1968E,12.809,0.01307

1968W,11.94,0.008062

1968aa,14.97,0.017685

1968I,12.071,0.005595

1968G,16.49,0.042712

1968H,15.84,0.040194

1968K,17.37,0.033666

1968J,15.524,0.040944

1968L,7.797,0.00169

1968M,16.4,0.0253

1968P,16,0.117311

1968N,15.658,0.016189

1968O,15.107,0.015908

1968Q,18.13

1968R,15.7

1968Z,13.276,0.027399

1968S,16.68

1968T,14.331,0.028748

1968U,12.82,0.003104

1968X,11.901,0.010374

1968Y,15.746,0.070448

1969A,13.738,0.004896

1969B,10.625,0.002325

1969C,12.924,0.010292

1969D,17.02,0.060555

1969E,10.606,0.002003

1969F,15.24,0.020574

1969G,16.82,0.043016

1969H,9.903,0.004024

1969I,18

1969O,18

1969J,15.249,0.045207

1969K,14.773,0.03904

1969L,11.86,0.001727

1969M,16.47,0.022742

1969N,19

1969P,9.76,0.000133

1970O,17.5

1970A,13.336,-0.000576

1970B,16.5

1970C,14.86,0.016181

1970D,15.14,0.052416

1970F,16.5

1970E,17.5

1970P,13.079,0.022873

1970G,8.38,0.000796

1970N,14.39,0.033197

1970H,17.25,0.018285

1970I,16.84,0.044494

1970J,12.103,0.012512

1970K,16.22

1970L,12.694,0.005236

1970M,16.5

1971A,14.881,0.03277

1971C,11.801,0.005257

1971B,16.01

1971D,12.331,0.006191

1971E,17.62

1971F,16.075,0.038915

1971G,14.338,0.006213

1971H,18.04

1971J,17.95

1971I,9.317,0.0017

1971K,12.924,0.010292

1971L,11.62,0.005554

1971V,16

1971M,17

1971P,14.009,0.022136

1971N,16.87,0.024303

1971Q,16.5

1971O,16.13,0.040541

1971R,13.34,0.015172

1971S,12.943,0.007811

1971T,12.602,0.009199

1971U,13.896,0.020997

1972C,13.933,0.02068

1972B,17

1972A,17.99

1972D,18.5

1972S,17.7

1972E,10.81,0.001364

1972F,15.745,0.058967

1972G,18.5

1972I,16,0.040674

1972H,11.268,0.009395

1972J,13.633,0.01079

1972K,16.5

1972L,14.07,0.015459

1972N,14.186,0.020911

1972M,15.462,0.034196

1972O,18

1972P,17.5

1972R,10.03,0.00212

1972Q,10.408,0.008023

1973A,15.739,0.03413

1973C,13.418,0.009566

1973B,16.5

1973D,14.972,0.035217

1973F,13.801,0.023311

1973H,15.05,0.031034

1973I,19.5

1973E,16.4

1973K,18.3

1973J,11.901,0.010374

1973M,14.884,0.039784

1973L,15.551,0.031034

1973P,14.372,0.026744

1973N,13.747,0.016321

1973O,15.444,0.021951

1973Q,19

1973R,9.857,0.002404

1973S,16.63,0.094695

1973U,13.95,0.016197

1973V,15.182,0.039488

1973T,15.741,0.052342

1974A,13.967,0.022512

1974B,12.04,0.007966

1974C,11.235,0.003319

1974D,14.545,0.019381

1974E,10.862,0.00548

1974F,18

1974G,10.94,0.002393

1974I

1974H,14.745,0.042451

1974J,14.36,0.024912

1974K,16.5

1975A,12.154,0.009165

1975D,15.096,0.022018

1975C,13.401,0.012407

1975B,15.808,0.028176

1975E,11.88,0.002814

1975F,12.268,0.007595

1975I,18

1975G,14.921,0.006382

1975H,16.5

1975L,18.7

1975K,14.014,0.030184

1975J,16

1975V

1975M,15.661,0.034747

1975U

1975N,11.942,0.006212

1975Q,16

1975O,13.356,0.016148

1975P,12.089,0.007132

1975R,16.64

1975T,12.033,0.004299

1975S,12.25,0.005284

1976A,15.145,0.024288

1976B,13.08,0.000781

1976P

1976C,13.693,0.017516

1976O,14.607,0.017331

1976D,12.01,0.008746

1976E,11.788,0.003834

1976F,16.129,0.014576

1976G,11.128,0.007566

1976I,15.46

1976H,14.51,0.013526

1976L,12.181,0.003242

1976Q

1976J,14.405,0.015269

1976K,12.346,0.004247

1977F,13.896,0.020997

1977A,12.096,0.003111

1977B,13.12,0.018171

1977I,15.196,0.037704

1977D,16.95,0.017662

1977C,15.026

1977E,15.304

1978A,15.551,0.024368

1978B,14.777,0.009766

1978I,22

1978K,9.656,0.001581

1978C,13.817,0.013661

1978L

1978D,0.070048

1978J

1978E,15.406,0.0162

1978F,0.01501

1978H,12.08,0.007985

1978G,11.415,0.003055

1979A,12.106,0.004659

1979B,13.28,0.003181

1979C,9.902,0.005263

