m-M,redshift
33.18,0.0277
35.48,0.02777
35.31,0.027906
34.17,0.028063
34.78,0.028116
35.4,0.0282
35.38,0.02834
31.87,0.028341
35.41,0.02837
33.93,0.02843
35.4,0.0285
35.51,0.0286
34.95,0.02873
34.97,0.0288
34.84,0.028977
35.6,0.0291
34.61,0.02936
34.87,0.02942
35.43,0.0295
34.62,0.02956
35.61,0.0296
35.48,0.02979
35.49,0.0298
35.74,0.029834
34.9,0.029864
35.26,0.03
34.89,0.030002
35.39,0.0301
35.64,0.030134
35.19,0.03024
35.88,0.0303
35.72,0.0304
34.85,0.030455
35.98,0.0305
35.27,0.0306
34.82,0.03066
34.89,0.030738
35.39,0.03074
35.15,0.03088
35.59,0.0309
35.99,0.030915
34.92,0.030935
34.78,0.030985
34.85,0.031018
35.16,0.031021
35.9,0.0312
36.05,0.03132
33.11,0.03133
34.89,0.0314
35.43,0.03144
34.62,0.031442
35.62,0.0315
35.14,0.031592
35.64,0.0316
35.09,0.031662
35.74,0.0317
35.69,0.0318
35.05,0.031939
35.52,0.03196
35.87,0.032
35.31,0.032009
35.37,0.03201
35.61,0.03202
35.85,0.032065
35.34,0.032089
35.3,0.0321
35.2,0.032102
35.07,0.032156
36.18,0.0322
35.98,0.0323
35.13,0.032309
35.71,0.0324
36.01,0.0325
35.35,0.032529
36.08,0.03256
34.9,0.032809
35.6,0.03285
35.86,0.03295
35.71,0.03297
35.74,0.0331
35.14,0.033196
35.81,0.0332
35.1,0.033283
35.92,0.0333
35.03,0.033507
35.99,0.0336
35.23,0.033737
35,0.0338
35.87,0.0339
35.75,0.034
35.26,0.034043
35.11,0.0341
35.86,0.0342
35.98,0.034204
32.56,0.034307
35.67,0.0344
36.14,0.03445
35.66,0.03446
35.24,0.034597
35.8,0.0346
35.25,0.03466
35.96,0.034717
36.21,0.0348
35.82,0.0349
36.06,0.035
35.79,0.0354
35.97,0.0356
35.7,0.03562
36.18,0.0357
35.09,0.036
35.24,0.036212
36.24,0.0365
36.12,0.0366
36.22,0.0367
35.38,0.0369
36.12,0.037
35.41,0.037002
35.25,0.037036
36.05,0.0371
36.09,0.037131
35.37,0.037152
35.94,0.0373
35.92,0.037559
36.09,0.037626
36.11,0.037639
35.06,0.0377
36.02,0.0381
36,0.038253
36.11,0.038407
36.02,0.03849
35.8,0.038513
36.01,0.0389
35.17,0.03903
35.59,0.03908
36.43,0.0391
35.53,0.03914
36.12,0.0392
35.57,0.04
35.64,0.0402
36.06,0.04029
36.27,0.0403
35.38,0.040485
36.37,0.0405
36.26,0.0406
35.64,0.040695
36.39,0.0407
36.07,0.040796
36.35,0.040952
36.29,0.041449
35.66,0.041552
36.47,0.0417
36.57,0.0419
36.4,0.0423
36.34,0.0424
35.19,0.0425
35.61,0.043
35.68,0.04311
38.98,0.043357
35.74,0.0436
36.14,0.04367
36.12,0.04393
36.32,0.044
35.92,0.0442
36.42,0.04421
35.33,0.044237
36.96,0.0443
36.14,0.044351
37.02,0.04444
36.44,0.044771
35.87,0.045
36.59,0.04501
36.68,0.045439
36.31,0.045494
36.41,0.045859
36.57,0.04594
36.4,0.046615
36.51,0.0467
36.28,0.04693
36.72,0.0472
36.42,0.0481
35.99,0.048337
36.54,0.04839
37.06,0.0484
36.33,0.0486
36.69,0.0488
36.64,0.0489
36,0.049
36.62,0.0493
36.75,0.0495
36.54,0.049509
35.65,0.0499
36.67,0.05024
35.84,0.0503
36.44,0.05056
36.22,0.0509
36.8,0.0514
36.91,0.0518
37.17,0.052
36.85,0.05219
35.94,0.0522
36.83,0.0524
36.96,0.0529
36,0.052933
36.74,0.05331
37.11,0.0534
36.74,0.0537
36.54,0.0538
36.22,0.054
36.54,0.0542
34.05,0.05422
36.67,0.0544
36.17,0.055
36.95,0.0552
35.88,0.055672
36.9,0.0559
36.9,0.055908
37.3,0.056
36.38,0.0564
36.94,0.05668
37.01,0.0568
37.07,0.057
37.09,0.0575
36.3,0.057756
37.21,0.0579
37.04,0.0583
37.17,0.0585
37,0.0586
36.35,0.0587
36.32,0.059239
37.08,0.0594
36.98,0.05991
36.21,0.06
36.33,0.061
37.92,0.0611
37.39,0.0614
37.01,0.0615
37.38,0.0628
36.43,0.062814
36.75,0.063
37.48,0.0634
37.45,0.063434
37.27,0.0636
37.26,0.064
37.54,0.0642
36.44,0.064387
37.26,0.0645
39.03,0.0649
37.52,0.065
36.61,0.0651
36.6,0.065397
37.3,0.0656
39.93,0.066218
37.32,0.06643
37.4,0.0666
37.36,0.067
36.65,0.067107
37,0.067517
36.84,0.067849
37.17,0.0679
37.9,0.0684
38.6,0.068646
37.54,0.06895
36.71,0.069
37.72,0.0691
36.75,0.07
37.24,0.0701
37.33,0.0703
