0,73,8
0.1,69,12
0.17,83,8
0.27,77,14
0.4,95,17.4
0.48,90,60
0.88,97,40.4
0.9,117,23
1.3,168,17.4
1.43,177,18.2
1.53,140,14
1.75,202,40.4
