  12   26  Mg     -16214.4756        0.1930  
  13   26  Al     -12210.3389        0.1970  
  14   26  Si      -7144.6182        3.0000  
  15   26  P       10973.0000      196.0000  
  16   26  S       25970.0000      298.0000  
   9   27  F       25050.0273      418.1680  
  10   27  Ne       7093.5122       91.3030  
  11   27  Na      -5580.8569       38.1800  
  12   27  Mg     -14586.5029        0.1970  
  13   27  Al     -17196.8281        0.1260  
  14   27  Si     -12384.4307        0.1590  
  15   27  P        -752.9780       35.0000  
  16   27  S       17507.0000      203.0000  
   9   28  F       33226.0000      512.0000  
  10   28  Ne      11278.5947      112.4040  
  11   28  Na      -1033.5760       75.7430  
  12   28  Mg     -15018.7520        2.0050  
  13   28  Al     -16850.5527        0.1380  
  14   28  Si     -21492.7930        0.0020  
  15   28  P       -7161.0181        3.7500  
  16   28  S        4073.1069      160.0000  
  17   28  Cl      26557.0000      503.0000  
   9   29  F       40296.0000      578.0000  
  10   29  Ne      18020.5898      301.5220  
  11   29  Na       2618.7100       88.9440  
  12   29  Mg     -10661.1865       28.5790  
  13   29  Al     -18215.5039        1.2070  
  14   29  Si     -21895.0254        0.0280  
  15   29  P      -16951.9063        0.7240  
  16   29  S       -3158.8779       50.0000  
  17   29  Cl      13143.0000      196.0000  
  10   30  Ne      22236.6211      823.4410  
  11   30  Na       8594.4160       93.3550  
  12   30  Mg      -8882.2334       66.8600  
  13   30  Al     -15872.3721       14.0450  
  14   30  Si     -24432.8809        0.0420  
  15   30  P      -20200.5566        0.4010  
  16   30  S      -14062.8057        3.0020  
  17   30  Cl       4443.0000      196.0000  
  18   30  Ar      20083.0000      298.0000  
  10   31  Ne      30842.0000      904.0000  
  11   31  Na      12663.7598      164.5950  
  12   31  Mg      -3215.0891       75.7110  
  13   31  Al     -14954.1807       20.3430  
  14   31  Si     -22948.9570        0.0650  
  15   31  P      -24440.9902        0.1830  
  16   31  S      -19044.9316        1.5040  
  17   31  Cl      -7064.4360       50.0010  
  18   31  Ar      11296.0000      206.0000  
  10   32  Ne      37176.0000      876.0000  
  11   32  Na      18303.6602      481.4640  
  12   32  Mg       -795.5990       95.7080  
  13   32  Al     -11062.0684       86.8130  
  14   32  Si     -24080.8594        2.1640  
  15   32  P      -24305.3184        0.1880  
  16   32  S      -26015.9805        0.1120  
  17   32  Cl     -13330.6943        6.7820  
  18   32  Ar      -2179.0811       50.0000  
  19   32  K       20418.0000      503.0000  
  11   33  Na      25509.8906     1491.3220  
  12   33  Mg       5204.2329      145.9150  
  13   33  Al      -8504.9229       65.4510  
  14   33  Si     -20492.3809       15.7910  
  15   33  P      -26337.7266        1.0950  
  16   33  S      -26586.2344        0.1090  
  17   33  Cl     -21003.5117        0.5120  
  18   33  Ar      -9381.3359       30.0010  
  19   33  K        6763.0000      196.0000  
  11   34  Na      32509.0000     1053.0000  
  12   34  Mg       8450.9219      262.6610  
  13   34  Al      -2862.2429       90.2680  
  14   34  Si     -19956.5625       14.1180  
  15   34  P      -24557.5488        5.0060  
  16   34  S      -29931.8496        0.0980  
  17   34  Cl     -24440.5664        0.1200  
  18   34  Ar     -18378.2637        3.0110  
  19   34  K       -1481.0000      298.0000  
  20   34  Ca      13153.0000      298.0000  
  11   35  Na      41153.0000     1546.0000  
  12   35  Mg      16292.0000      438.0000  
  13   35  Al        -58.0790      140.9290  
  14   35  Si     -14359.7617       38.4120  
  15   35  P      -24857.6133        1.8720  
  16   35  S      -28846.3711        0.0920  
  17   35  Cl     -29013.5117        0.0390  
  18   35  Ar     -23048.2070        0.7700  
  19   35  K      -11167.1074       20.0020  
  20   35  Ca       4439.0000       69.0000  
  12   36  Mg      20912.0000      904.0000  
  13   36  Al       5916.3838      270.1170  
  14   36  Si     -12400.6387      103.1040  
  15   36  P      -20250.8398       13.1140  
  16   36  S      -30663.9570        0.2350  
  17   36  Cl     -29521.8867        0.0770  
  18   36  Ar     -30230.4395        0.2540  
  19   36  K      -17425.0781        7.7850  
  20   36  Ca      -6439.1992       40.0010  
  21   36  Sc      13898.0000      503.0000  
  12   37  Mg      29100.0000      904.0000  
  13   37  Al       9603.7021      539.3350  
  14   37  Si      -6524.1919      125.3810  
  15   37  P      -18994.7070       37.9480  
  16   37  S      -26896.2188        0.2510  
  17   37  Cl     -31761.5195        0.0480  
  18   37  Ar     -30948.0332        0.3050  
  19   37  K      -24799.2402        0.2700  
  20   37  Ca     -13160.6074       22.3630  
  21   37  Sc       2841.0000      298.0000  
  13   38  Al      15742.0000      559.0000  
  14   38  Si      -3744.6050      270.1330  
  15   38  P      -14466.0996      139.7240  
  16   38  S      -26861.0762        7.1720  
  17   38  Cl     -29797.9766        0.1110  
  18   38  Ar     -34714.7617        0.4910  
  19   38  K      -28801.6914        0.7240  
  20   38  Ca     -22059.0449        4.5610  
  21   38  Sc      -4937.0000      298.0000  
  22   38  Ti       9101.0000      252.0000  
  13   39  Al      20400.0000      596.0000  
  14   39  Si       2142.0000      401.0000  
  15   39  P      -12649.6865      149.0390  
  16   39  S      -23161.3398       50.0000  
  17   39  Cl     -29800.6523        1.7360  
  18   39  Ar     -33241.8359        5.0080  
  19   39  K      -33806.8359        0.2800  
  20   39  Ca     -27276.2559        1.7880  
  21   39  Sc     -14168.0137       24.0020  
  22   39  Ti       1232.0000      103.0000  
  14   40  Si       5403.0000      503.0000  
  15   40  P       -8336.8701      195.6140  
  16   40  S      -22849.5449      232.8730  
  17   40  Cl     -27557.7285       32.0660  
  18   40  Ar     -35039.8906        0.0040  
  19   40  K      -33535.0156        0.2710  
  20   40  Ca     -34846.1094        0.2930  
  21   40  Sc     -20526.3867        4.1060  
  22   40  Ti      -8850.2100      160.0000  
  23   40  V       10330.0000      503.0000  
  14   41  Si      11830.0000      596.0000  
  15   41  P       -4843.7681      465.7470  
  16   41  S      -18601.9316      214.2440  
  17   41  Cl     -27339.1484       64.7860  
  18   41  Ar     -33067.2617        0.6530  
  19   41  K      -35558.8711        0.2610  
  20   41  Ca     -35137.4883        0.3740  
  21   41  Sc     -28642.2109        0.3050  
  22   41  Ti     -15713.0000       35.0000  
  23   41  V        -242.0000      252.0000  
  14   42  Si      14997.0000      699.0000  
  15   42  P          84.0000      503.0000  
  16   42  S      -17241.9512      326.0230  
  17   42  Cl     -24987.3281      109.2010  
  18   42  Ar     -34422.0664       40.0000  
  19   42  K      -35021.3203        0.3010  
  20   42  Ca     -38546.7656        0.3780  
  21   42  Sc     -32120.9258        0.3930  
  22   42  Ti     -25120.8789        5.4560  
  23   42  V       -8169.0000      196.0000  
  24   42  Cr       5990.0000      298.0000  
  15   43  P        3083.0000      503.0000  
  16   43  S      -12482.0176      838.3440  
  17   43  Cl     -24029.3887      161.7530  
  18   43  Ar     -31977.5313       70.1230  
  19   43  K      -36593.0430        8.9570  
